rid,name,n_sel,val_loss,frac_selected,mean_pred_ebm,mean_pred_ebm_interp,mean_pred_lasso,mean_dclm_sel,mean_fwedu_sel
V0,random_seed42,170169,4.2390020599365235,0.2779739813387,-0.00803097989410162,-0.0068048941902816296,-0.00840846262872219,0.015833163012513595,1.1288483801397435
V1,dclm_top15,103481,4.340508098602295,0.16903798907503725,-0.00624157814309001,-0.0041779521852731705,-0.0033856690861284733,0.09087961536548143,1.5186652622220504
V2,fwedu_ge3,127715,4.317903285980225,0.20862464389325946,0.004609647206962109,0.0062787183560431,0.00646349648013711,0.037291355155551605,2.2224249305093373
V3,ebm_top15,116071,4.271979080200195,0.18960397010010194,0.03073601983487606,0.030477380380034447,0.013105540536344051,0.007999780064664569,1.3310387607585012
V4,ebm_interp_top15,111793,4.2582210998535155,0.18261578369619194,0.030717823654413223,0.03132769465446472,0.012976928614079952,0.008559501638275386,1.346774842789799
V5,lasso_top15,110615,4.326690631866455,0.1806915004835211,0.018861576914787292,0.019107680767774582,0.022841669619083405,0.015360023880750648,1.5853907697870995
V6,ebm_within_topic_top15,133796,4.239965938568115,0.21855806173388045,0.017694028094410896,0.017129484564065933,0.0070634642615914345,0.012080382231964068,1.3006666865975067
V7,random_seed43,169667,4.246560249328613,0.27715395572515095,-0.008145112544298172,-0.006909009534865618,-0.008477897383272648,0.01593957247578906,1.1319466955860598
V8,random_seed44,167840,4.2501266632080075,0.2741695198766368,-0.008050759322941303,-0.006822977215051651,-0.008418707177042961,0.015814459280912598,1.1310712583412774
V9,ebm_top15_seed43,116071,4.271106716156006,0.18960397010010194,0.03073601983487606,0.030477380380034447,0.013105540536344051,0.007999780064664569,1.3310387607585012
